"No.","Time","Source","Destination","Protocol","Info","Length","Delta"
"61","0.063540","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000895"
"62","0.064449","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000909"
"63","0.065275","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000826"
"64","0.066148","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000873"
"65","0.067068","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000920"
"66","0.067966","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000898"
"67","0.068848","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000882"
"68","0.069694","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000846"
"69","0.070614","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000920"
"70","0.071469","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000855"
"71","0.072367","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000898"
"72","0.073321","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000954"
"73","0.074139","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000818"
"74","0.075022","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000883"
"75","0.075907","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000885"
"76","0.077420","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.001513"
"77","0.077797","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000377"
"78","0.078570","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000773"
"79","0.079456","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000886"
"80","0.080345","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000889"
"81","0.081241","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000896"
"82","0.082141","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000900"
"83","0.083023","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000882"
"84","0.083896","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000873"
"85","0.084811","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000915"
"86","0.085916","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.001105"
"87","0.086558","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000642"
