"No.","Time","Source","Destination","Protocol","Length","Info","Delta"
"61","0.218346","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004343"
"62","0.222618","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004272"
"63","0.227088","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004470"
"64","0.231327","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004239"
"65","0.235653","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004326"
"66","0.239956","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004303"
"67","0.244293","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004337"
"68","0.248601","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004308"
"69","0.252980","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004379"
"70","0.257262","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004282"
"71","0.261789","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004527"
"72","0.265991","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004202"
"73","0.270232","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004241"
"74","0.274602","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004370"
"75","0.278913","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004311"
"76","0.283263","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004350"
"77","0.287569","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004306"
"78","0.291880","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004311"
"79","0.296218","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004338"
"80","0.300557","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004339"
"81","0.304880","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004323"
"82","0.309209","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004329"
"83","0.313508","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004299"
"84","0.317820","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004312"
"85","0.322153","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004333"
"86","0.326563","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004410"
"87","0.330806","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004243"
"88","0.335129","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004323"
"89","0.339451","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004322"
